3D shading,ombreig en 3D,m
abnormal termination,fi anormal,m
abort,interrupció,f
abort, to,interrompre,v tr
aborted,interromput -uda,adj
abortion,interrupció,f
about,quant a,loc
above,més amunt, a sobre, abans,adv
above,superior,adj
accelerator,(tecla de) drecera,f
accept, to,acceptar,v tr
acceptable use policy,normes d'ús,f pl
access,accés,m
access code,contrasenya,f
access control,control d'accés,m
access key,contrasenya,f
access permission,permís d'accés,m
access time,temps d'accés,m
access, to,accedir,v intr
account,compte,m
account name,nom de compte,m
account policy,política de comptes,f
accrued interest,interès acumulat,m
acknowledgement,justificant de recepció || agraïments (m pl),m
acronym,acrònim,m
action,acció,f
activate, to,activar,v tr
ad,anunci,m
ad banner,bàner,m
adapt, to,adaptar,v tr
adaptation,adaptació,f
adapter,adaptador,m
adapter dongle,motxilla,f
add-in,complement,m
add-on,complement,m
add, to,afegir,v tr
address,adreça,f
address bar,barra d'adreces,f
address book,llibreta d'adreces,f
advanced,avançat -ada,adj
advanced search,cerca avançada,f
advert, advertisement,anunci,m
advertising,publicitari -ària,adj
advertising,publicitat,f
advertising banner,bàner,m
advisor,guia,m i f
adware,programari de publicitat,m
again,tornar a..., ...de nou, ...una altra vegada,loc
alert,(missatge d') avís || atenció (f),m
alert, to,avisar,v tr
algorithm,algorisme, algoritme,m
alias,àlies,m
aliasing,aliàsing,m
align, to,alinear,v tr
alignment,alineació,f
alphanumeric,alfanumèric -a,adj
Alt key, alternate key ,tecla d'alternativa,f
alternate,alternatiu -iva,adj
alternate, to,alternar,v intr
AltGr key, alt graphic key,tecla d'alternativa gràfica,f
always,sempre,adv
always on top,sempre visible,loc
allocate, to,assignar,v tr
allocation,assignació,f
allow, to,autoritzar, permetre,v tr
allowed,autoritzat -ada, permès -esa,adj
amplification,amplificació,f
amplifier,amplificador,m
amplify, to,amplificar,v tr
analog, analogic,analògic -a,adj
analyst,analista,m i f
analyzer,analitzador,m
anchor,àncora,f
anchor, to,ancorar,v tr
animated,animat -ada,adj
animatics,animació assistida per ordinador,f
animation,animació,f
animatronics,animació electrònica,f
announcement,avís,m
annoying,molest -a,adj
anonymous,anònim -a,adj
anonymous mail,correu anònim,m
antenna,antena,f
antialiasing,antialiàsing,m
antidote,antídot,m
antivirus, antivirus program,antivirus,m
anyway,igualment,adv
appear, to,aparèixer || semblar (v tr),v intr
appearance,aparença,f
append, to,afegir,v tr
applet,miniaplicació,f
application,aplicació || sol·licitud,f
apply, to,aplicar || sol·licitar,v tr
approximate,aproximat -ada,adj
archive,arxiu,m
archive, to,arxivar,v tr
archiver,arxivador,m
archiving,arxivament,m
argument,argument,m
arrange, to,organitzar,v tr
arrangement,configuració,f
array,matriu,f
arrow key,tecla de cursor, tecla de desplaçament,f
arrowhead,extrem de fletxa,m
artificial language,llenguatge artificial,m
ascending,ascendent,adj
ask, to,preguntar, demanar,v tr
aspect,aspecte,m
aspect ratio,relació d'aspecte,f
assemble, to,assemblar,v tr
assembler,assemblador,m
assembler language,llenguatge d'assemblador,m
assembling,assemblatge,m
assembly language,llenguatge d'assemblador,m
assertion,asserció,f
asset,bé (financer),m
assistive technology,tecnologies d'assistència,f pl 
assistive tools ,eines d'assistència,f pl
associated,associat -ada,adj
assume, to,assumir,v tr
asterisk key,tecla d'asterisc,f
at (@),arrova,f
attach, to,adjuntar,v tr
attached,adjunt -a,adj
attachment,adjunció, annex (m), fitxer (m) adjunt,f
attempt, to,intentar,v tr
attribute,atribut,m
audio,àudio,m
audio codec,còdec d'àudio,m
audio ripper,capturador d'àudio,m
audiobook,audiollibre,m
authenticate, to,autenticar,v tr
authenticated,autenticat -ada,adj
authentication,autenticació,f
authoring,creació personalitzada,f
authorization,autorització,f
auto-,automàtic-a || automàticament (adv),adj
autocomplete,compleció automàtica ,f
autocompletion,compleció automàtica,f 
autoconfiguration,configuració automàtica,f
autoconfigure, to,configurar automàticament,v tr
autodetection,detecció automàtica,f
autoload,càrrega automàtica,f
automate, to,automatitzar,v tr
automatic,automàtic -a,adj
automatics,automàtica,f
autosaving,desament automàtic,m
autoscroll,desplaçament automàtic,m
available,disponible,adj
avatar,avatar,m
average,mitjà -ana,adj
average,mitjana,f
back,enrere,adv
back end,rerefons, segon pla en execució, execució secundària (f),m
backbone, backbone network,xarxa troncal,f
backend,rerefons, segon pla en execució, execució secundària (f),m
background,segon pla, fons,m
backslash,barra inversa,f
backslash key,tecla de barra inversa,f
backtrack, to,tornar enrere,loc
backup, backup copy,còpia de seguretat,f
backup, to,fer còpies de seguretat,v intr
bad,incorrecte -a, erroni -ònia,adj
bad read,lectura errònia,f
balance, to,equilibrar,v tr
ban, to,bandejar, expulsar,v tr
bandwidth,amplada de banda,f
banner,bàner,m
bar,barra,f
bar code,codi de barres,m
baseline,punt de referència,m
batch,lot,m
batch,massiu -iva,adj
batch file,fitxer de lot,m
batch processing,processament per lots, processament en temps diferit,m
battery,bateria,f
baud,baud,m
BBS,BBS,m
beeper,cercapersones,m
below,inferior,adj
below,més avall, a sota, a continuació,adv
benchmark,test de referència,m
beta version,versió beta,f
billing information,dades de facturació,f pl
binary,binari -ària,adj
binary code,codi binari,m
bind, to,vincular,v tr
binding,vinculació,f
bit,bit (sbl. b),m
bit rate, bitrate,velocitat de transmissió || taxa de bits,f
bitmap,mapa de bits,m
bitwise,bit a bit,m 
blank,en blanc,loc
blend, to,barrejar,v tr
blink, to,parpellejar,v intr
blinking,parpelleig,m
block,bloc,m
block, to,bloquejar, blocar,v tr
blog,bloc,m
blur, to,difuminar,v tr
board,targeta,f
body,cos,m
bold,negreta,f
bond,bo (financer),m
bookmark,adreça d'interès, preferit (m),f
bookmarks,(llista d') adreces d'interès,f
Boolean,booleà -ana,adj
boot,arrencada,f
boot, to,arrencar,v tr
bootloader,carregador de l'arrencada,m
bootstrap, to,arrencar,v tr
border,vora, contorn (m),f
bottom,inferior,adj
bottom ,part inferior,f
bounce, to,retornar,v tr
bounced message,missatge retornat,m
bound,límit,m
box,quadre || casella (f) || bústia (f),m
bracket,claudàtor,m
branch, branch instruction,bifurcació,f
branch, to,bifurcar,v intr
branching,bifurcació,f
branching point,punt de ramificació,m
breadcrumb,ruta de navegació,f
break,salt || pausa (f),m
Break, break key,tecla d'interrupció ,f
break, to,interrompre,v tr
bridge,pont,m
brightness,brillantor,f
bring up, to,mostrar,v tr
broadband,banda ampla,f
broadcast,difusió,f
broken link,enllaç no vàlid,m
browse for, to,cercar,v tr
browse, to,navegar, explorar (v tr),v intr
browser,navegador,m
browsing,navegació,f
BS, backspace key,tecla de retrocés,f
